study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
werktuigbouwkunde,HAN University of Applied Sciences,B,Arnhem,Nederlands,4 jaar,Hbo/universiteit
engineering systems,HAN University of Applied Sciences,M,Arnhem,Engels,1 jaar,Reliable
applied data science,HAN University of Applied Sciences,M,Arnhem,Engels,2 jaar,
molecular life sciences,HAN University of Applied Sciences,M,Nijmegen,Nederlands,2 jaar,R&D-projectstrategie
civiele techniek projectvoorbereiding en -realisatie,HAN University of Applied Sciences,AD,Arnhem,Nederlands,2 jaar,E+M Projectvoorbereiding
constructeur werktuigbouwkunde,HAN University of Applied Sciences,AD,Arnhem,Nederlands,2 jaar,
elektrotechniek/energietechniek,HAN University of Applied Sciences,AD,Arnhem,Nederlands,2 jaar,Hbo/universiteit
embedded systems engineering,HAN University of Applied Sciences,AD,Arnhem,Nederlands,2 jaar,EM-profiel Hbo/universiteit
bouwtechnisch medewerker,HAN University of Applied Sciences,AD,Arnhem,Nederlands,2 jaar,N&G
gebouwgebonden installatietechniek,HAN University of Applied Sciences,AD,Arnhem,Nederlands,2 jaar,N&G
automotive,HAN University of Applied Sciences,AD,Arnhem,Nederlands,2 jaar,EM-profiel
technische bedrijfskunde,HAN University of Applied Sciences,AD,Arnhem,Nederlands,2 jaar,EM-profiel
bouwkunde,HZ University of Applied Sciences,B,Middelburg,Nederlands,4 jaar,Vergunningaanvragen HZ-aanbod
chemie,HZ University of Applied Sciences,B,Middelburg,"Nederlands, Engels",4 jaar,
civiele techniek,HZ University of Applied Sciences,B,Middelburg,"Nederlands, Engels",4 jaar,HZ-aanbod
engineering,HZ University of Applied Sciences,B,Middelburg,"Nederlands, Engels",4 jaar,
hbo-ict,HZ University of Applied Sciences,B,Middelburg,"Nederlands, Engels",4 jaar,ICT-oplossing ICT-vraagstuk
logistics engineering,HZ University of Applied Sciences,B,Vlissingen,"Nederlands, Engels",4 jaar,HZ-aanbod
maritiem officier,HZ University of Applied Sciences,B,Vlissingen,Nederlands,4 jaar,
technische bedrijfskunde,HZ University of Applied Sciences,B,Middelburg,Engels,4 jaar,
watermanagement,HZ University of Applied Sciences,B,Middelburg,"Nederlands, Engels",4 jaar,Watermanagers N&T N&G HZ-aanbod
river delta development (joint degree),HZ University of Applied Sciences,M,"Middelburg, Velp, Rotterdam",Nederlands,2 jaar,
built environment,HZ University of Applied Sciences,AD,Roosendaal,Nederlands,2 jaar,Materialisatie LEV-week LEV-week Bouworganisatie
energietransitie engineer,HZ University of Applied Sciences,AD,Roosendaal,Nederlands,2 jaar,
technische bedrijfskunde,HZ University of Applied Sciences,AD,Roosendaal,Nederlands,2 jaar,
biologie en medisch laboratoriumonderzoek,Hogeschool Inholland,B,Amsterdam,Nederlands,4 jaar,
bouwkunde,Hogeschool Inholland,B,"Alkmaar, Haarlem",Nederlands,4 jaar,
chemie,Hogeschool Inholland,B,Amsterdam,Nederlands,4 jaar,
civiele techniek,Hogeschool Inholland,B,Alkmaar,Nederlands,4 jaar,Volg Zuidasdok Wegontwerp
elektrotechniek,Hogeschool Inholland,B,Alkmaar,Nederlands,4 jaar,stagebedrijven Stage-activiteiten beeldherkenning verstand
informatica,Hogeschool Inholland,B,Haarlem,Nederlands,4 jaar,tijdperk ICT-toepassingen vaandel behulpzaamheid ICT-product Applicatiebouw studiepunt cyberbeveiliging cybercriminelen datawetenschappers acceptatie applicatieontwikkeling pre-)masteropleidingen
luchtvaarttechnologie,Hogeschool Inholland,B,Delft,Nederlands,4 jaar,rondje strepen hemel auto-ontwerpen stoep luchtvaarttechnologen beroepsgroepen autoindustrie luchtvaartindustrie composietenlaboratorium scripties themaprojecten testprogramma vestigingen ontwikkelaars lichtgewicht buren
ruimtelijke ontwikkeling,Hogeschool Inholland,B,Haarlem,Nederlands,4 jaar,kerken rand praktijksituaties projectontwikkeling stage-mogelijkheden beroepenveld
technische bedrijfskunde,Hogeschool Inholland,B,Alkmaar,Nederlands,4 jaar,bedrijfsopdrachten tentamen ondernemingsplan
technische informatica,Hogeschool Inholland,B,Alkmaar,Nederlands,4 jaar,snoeit röntgenapparaat hartoperatie botsingen computersysteem liftsysteem grafentheorie C moeder ping oogstrobot besturingssysteem leerzame linksom
toegepaste wiskunde,Hogeschool Inholland,B,Amsterdam,Engels,4 jaar,hersenen herinneringen sleutelrol softwareontwikkelaars statistici selfmade risicobeoordeling beurt flexibiliteit kwalificaties Cambridge-certificaat hoofdthema's App-ontwikkeling reeks carrièregebieden codeeroplossingen Oefening categorieën observatie vertrouwen Oefening Wiskunde/Data specialisatiegebied Strength Everything Wiskunde/Data specialisatietracks implicaties conditievoorspelling eindprojecten certificering masterprogramma's
werktuigbouwkunde,Hogeschool Inholland,B,Alkmaar,Nederlands,4 jaar,stilstand vingers verbrandingstechnologie familiebedrijf kop
cybersecurity,Hogeschool Inholland,AD,Amsterdam,Nederlands,2 jaar,spelcomputer platleggen redder netwerkbeveiliging -monitoring Penetratietesten praktijkoriëntatie beroepsoriëntatie praktijkervaringen kijkjes keukens
maintenance,Hogeschool Inholland,AD,Alkmaar,Nederlands,2 jaar,
creative media and game technologies,Hogeschool voor de Kunsten Utrecht,B,Utrecht,Nederlands,4 jaar,Kunsten
bio-informatica,Hogeschool Leiden,B,Leiden,Nederlands,4 jaar,mastermind bio-informatica-databases stofwisseling letters evolutie programmeerdomein Systeembiologie praktijkstage
biologie en medisch laboratoriumonderzoek,Hogeschool Leiden,B,Leiden,Nederlands,4 jaar,kledingstuk weefselonderzoek agenda immunochemie pathologie valideren bioscience-onderneming ziekenhuislaboratorium educatie
chemie,Hogeschool Leiden,B,Leiden,Nederlands,4 jaar,drinkwater stereochemie smaakstoffen vloeistofchromatografie gaschromatografie massaspectrometrie reiniging bodemonderzoek veiligheidsonderzoek waterleidingbedrijf toxiciteit kruitsporen beroepsontwikkeling ticket
